فور هندی
پلاشان
جندل
شمیران شنگی
شماساس
کوهیار
شهروی
گهار‌گهانی
سورگ‌هندی
فرنگیس
گودرز
دارا پناه
خواست یزد
فرشیدورد
مهرپیروز
شماخ سوری
گردیه
شاپور رازی
شماس
نستیهن
کرم‌ هفتواد
زهیر
هوشنگ
هجیر
گودرز اشکانی
ایلا
رودکی
شهران‌گراز
ضحاک
خزروان
اسکندر
نرسی اشکانی
علی
ایراک
فرهاد
شهرناز
برسام
کشمگان
الکوس
چنگش
رستم
بیدرفش
بابک رودیاب
گلشهر
منوشان
بهرام
خواست‌یزد
کندر
جان فروز
جمهور
اولاد
خسرو پرویز
گرزم
عمر بن خطاب
کلبوی سوری
گرسیوز
شنگل
مهراس
طوس
خوشنواز
مالکه
گردوی
بوران دخت
رهام
توس
غاتفر
طلخند
اشکبوس
ایزدگشسپ
فردوسی
خراد‌
منذر
شطرخ
هفتواد
ساسان
شهران گراز
جمشید
جاماسپ
شیرخون
ارسطالیس
سپینود
مسیح
کرسیون
اسفندیار
سیسنک
نازباب
گروی زره
یلان سینه
اردشیر
صیاع
برته
محمد
طغری
میرین
مردان‌شاه
سام
سیندخت
گرمایل
استقیلا
اردشیر بابکان
کیکاوس
زاد فرخ
بوران‌دخت
بیژن اشکانی
فرغار
شاپور اشکانی
شغاد
قیدافه
دادبرزین آژنگ چهر
کاکوی
بهرام چوبین
فرخ زاد
به آفرید
هیشوی
میروی طبری
آزادسرو
حسنوی
گرزسپ
جوانوی
مردان شاه
آیین‌گشسپ
پیران ویسه
اورمزد
نستاو
زنگله
مشکناز
مهرنوش
آذرنوش
نصر قتیب
الیاس
گیو
مهران
روزبه
منوچهر آرش
یزدگرد دبیر
زرسب
اغریرث
قحطان
نیاطوس
دمور
مهرهرمزد
سیامک
الان
گوش‌بستر
منوچهر
دل افروز
سیامک تورانی
ترخان
روئین
ایرج
گیوه
بابک
کاوه آهنگر
ارجاسب
خزروان خسرو
قیدروش
اندریمان
کالو
زادشم
بیطقون
حسین قتیب
گلینوش
دل‌افروز
طرخان
نوذر
اندمان
طینوش
فغانیش
رادوی
فروهل
سوسنک
مامون
خزاعه
بالوی
قالوس
همای چهرآزاد
بهرام شیراوژن
بلاش
پشنگ
حمزه
مزدک
براهام
پشین
بارمان
دقیقی
رودابه
کی آرش
برمایه
بهرام ماه آذر
فرانک
عمرو
کیانوش
شبدیز
ابوبکر
پیروز شاپور
سعد
بهرام بهرام
رادمان
نرسی
ساوه‌شاه
قلون
لنبک
مهرک نوش زاد
حیی قتیب
ماه‌آذر
برزمهر
گلبوی سوری
بزرگمهر
جهن‌برزین
تلیمان
سنجه
بوزرجهمر
ماه‌آفرید
فرش آورد
بنداه
هرمز شهریار
خسرو
شیرزیل
بوراب
شیروی
لهاک
شعبه مغیره
مهرآذر
کرم  هفتواد
گو
جانوسپار
مهرک نوش‌زاد
پیروز یزدگرد
شاپور
شهرو
اسماعیل بن ابراهیم
فرخ‌زاد
کی پشین
زنگوی
جریره
ماه آفرید
بستور
گشتاسپ
سنباد
بهرام هور
هرمزد خراد
یاوه
بهرام سیاوشان
ارنواز
پرموده
کلباد
عباس
گستهم
شهرگیر
کتماره
هرمزد
شاپور ذوالاکتاف
ابراهیم
ماهیار
نصر سامانی
گژدهم
دادبرزین
رام‌برزین
کبرد
گرو
مهربرزین
آرش کمانگیر
گوش بستر
شیدوش
کید‌شاه هندوستان
مهربنداد
شاهوی
سعد وقاص
شیدسپ
کیقباد
گهار گهانی
آرش
زروان
خوزان
فرعان
فریبرز
غرچه
قیطون
میلاد
سوخرا
اکوان دیو
برزوی
نوش زاد
جهن برزین
منیژه
نریمان
شمر
پولادغندی
مقاتوره
امیرک منصور
ارتنگ
ماخ
بندوی
کهرم
خَنْجَست
آرش اشکانی
فریدون
کَیروی
سپهرم
عمر سعد وقاص
بادان
مهرک
زاد‌فرخ
نوش آذر
برزین
بوالفضل
محمود غزنوی
اورمزد بزرگ
کیخسرو
گیوه‌
آیین گشسپ
خراد
خرنجاس
زریر
مریم
ساوه شاه
پروش
خراسان
الوای
ماهیار گوهرفروش
باربد
دارا
روئین‌
داراب
بهرام بهرامیان
نوش‌آذر
اهرن
قارن پارسی
اندبان
کشواد
یزدگرد بزه‌گر
رشنواد
تخوار
اسپنوی
مهر هرمزد
مانی
ارژنگ دیو
فغستان
اوخواست
بیورد کاتی
ریونیز
سیاوش
مهبود
تور
سودابه
طوش
آبتین
باطرون
مُشک
فرایین
بابک‌رودیاب
خشاش
شیرویه
گلگله
گرگین میلاد
کبروی
مهران ستاد
نستوه
طایر
آزرمی‌دخت
خانگی
فریان
کوت
علی دیلمی
سهراب
کرزم
یانُس
طهمورث
زنگه شاوران
نوشزاد
سلم
اسرافیل
قارن
نَهل
گرگسار
جانوشیار
شمیران
پیلسم
دارا‌پناه
کهیلا
گردآفرید
کاموس کشانی
مهراب کابلی
برانوش
شگنان
ویسه
اشتاد
دادبرزین آژنگ‌چهر
سورگ هندی
هرمز یکم
بهزاد
پشوتن
ماه آذر
بهرام اشکانی
روشنک
نوش‌زاد
زرمهر
شنبلید
وستا
قباد
زردهشت
بازور
نصر‌قتیب
به‌آفرید
هرمز دوم
بستاو
قراخان
مهرایزدگشسپ
گراز
بیژن
خضر پیامبر
اردشیر نکوکار
هَمْدان گُشسپ
سیما برزین
جرنجاش
ماهوی سوری
پیداوسی
دیو سپید
یزدگرد بزه گر
اشکش
تهمینه
همای
شیده
سرخه
بودلف
برزویلا
پیروز خسرو
نام خواست
کتایون
بهرام ماه‌آذر
بابوی
آزرمی دخت
تبرگ
زواره
هَمْدان‌گُشسپ
بغستان
هزاران
فرطوس
سرگس
سوفرا
فرآیین
تژاو
زال
مه‌آفرید
هرمز کدخدای ده
گیلوی طبری
دلارا
لواده
ارمایل
بیورد
کی‌آرش
نعمان
بساد
فرامرز
بدال
گرازه
گرستون
افلاطون
هومان
رام برزین
ساوه
یزدگرد
گشسپ
نستود
پیروز یکم
گرشاسپ
کید شاه هندوستان
کیومرث
سروش
کی‌پشین
جهن
طهماسب
موشیل
گرزاسپ
لهراسب
سباک
مردوی
مه آفرید
شمیران‌شنگی
