سیسنک
زردهشت
طینوش
سیامک تورانی
گرگین میلاد
مه‌آفرید
سیندخت
یزدگرد بزه‌گر
بهرام بهرامیان
پرمایه
بوران‌دخت
کبروی
گرگسار
مالکه
ماه‌آذر
برسام
استقیلا
کبرد
شمیران‌شنگی
اردشیر بابکان
شماخ سوری
یزدگرد دبیر
هفتواد
اغریرث
سام
جهن‌برزین
جانوشیار
بنداه
کرم‌ هفتواد
زاد‌فرخ
ارتنگ
زادشم
ساوه
زریر
قراخان
نستاو
هوشنگ
خانگی
اردشیر نکوکار
اکوان دیو
بابک
سهی
آبتین
الیاس
مامون
سروش
ریونیز
ایرج
دل‌افروز
برزمهر
منوشان
بازور
سیما برزین
اشتاد
شمیران شاه
برزین
نستوه
مهرپیروز
اشکش
نریمان
فرهاد
شهرگیر
گرشاسپ
رادمان
خسرو پرویز
ماهیار گوهرفروش
ارمایل
خراد
بهرام چوبین
هرمز دوم
آرش اشکانی
قارن پارسی
شنبلید
گرمایل
شاپور اشکانی
گردیه
زنگله
شهرو
شاپور رازی
فرنگیس
مهران
نصر سامانی
نام خواست
داراب
طهماسب
ارجاسب
شهرناز
رهام
شیرین
دمور
زواره
شمر
آزرمی‌دخت
طوش
کندر
سورگ‌هندی
هرمز کدخدای ده
نستیهن
صیاع
پشنگ
گرزسپ
بارمان
بستور
بهزاد
گژدهم
خشاش
بابک‌رودیاب
گرو
پیلسم
غرچه
منوچهر
بوراب
بهرام شیراوژن
فرخ‌زاد
ارنواز
خزاعه
بهرام
گروی زره
روزبه
نعمان
پیران ویسه
وستا
بیژن
فرطوس
مهراب کابلی
حیی قتیب
رستم
بلاش
ایزدگشسپ
مهربرزین
اردشیر
هَمْدان‌گُشسپ
بهرام اشکانی
مای شاه هندوستان
نَهل
کتماره
تلیمان
اسرافیل
نوذر
فرانک
سرخه
قیدافه
پیروز یزدگرد
طرخان
فریدون
اسماعیل بن ابراهیم
فور هندی
گیوه‌
گرزم
دارا
مُشک
پیداوسی
اورمزد
قیدروش
مسیح
آرش کمانگیر
دلارا
بهرام‌
الکوس
بندوی
نوش‌زاد
مهبود
گستهم
ماهوی
اسکندر
کالو
لنبک
رستم فرخزاد
بوالفضل
ناهید
کهرم
یاوه
برزویلا
باطرون
نازباب
کاکوی
اسپنوی
هرمزد
کوت
فرامرز
شماس
شغاد
فریان
تخوار
پیروز دوم
مهرک نوش‌زاد
کیانوش
شهران‌گراز
خواست‌یزد
منوچهر آرش
اشکبوس
جهن
بزرگمهر
شاهوی ‌پسر‌ هفتواد
زال
دقیقی
ماه‌آفرید
بیدرفش
طهمورث
الوای
جمشید
بیورد کاتی
کتایون
طلخند
رشنواد
شیرخون
نیاطوس
جاماسپ شاه ساسانی
خراد‌
بهرام بهرام
شطرخ
قارن
نصر‌قتیب
مهراس
بید
جریره
مقاتوره
کیومرث
شنگل
آزادسرو
شیدسپ
کاوه آهنگر
گلنار
گو
خوشنواز
دادبرزین
یانُس
کیکاوس
خزروان خسرو
مهرک
بساد
پلاشان
رودکی
برانوش
کیقباد
رام‌برزین
الان شاه
شیده
پولادغندی
همای چهرآزاد
شگنان
مهرآذر
برته
فریبرز
بستاو
ایلا
رخش
ساسان
اسفندیار
مزدک
تبرگ
اوخواست
سوسنک
خرنجاس
سیامک
ماخ
شیدوش
کَیروی
فردوسی
گرسیوز
یلان سینه
بهرام هور
پشین
زرمهر
بوزرجهمر
فغانیش
زروان
سوخرا
فرخ‌پی
اندریمان
زرسب
سباک
جاماسپ
ارسطالیس
روشنک
قیطون
به‌آفرید
بادان
جرنجاش
فرغار
گلشهر
گردآفرید
ساوه‌شاه
گلگله
میرین
گلینوش
مهربنداد
بودلف
اندبان
سعد
هجیر
بغستان
گشسپ
قباد
آرش
گرازه
زنگه شاوران
گرزاسپ
گودرز اشکانی
میلاد
ضحاک
شماساس
سهراب
اولاد
منیژه
فرش آورد
مشکناز
طوس
یزدگرد
خسرو
ترخان
پشوتن
حسین قتیب
خضر پیامبر
برزوی
اورمزد بزرگ
سوفرا
باربد
لواده
هرمز یکم
مریم
شیرویه
گیو
بالوی
شاپور ذوالاکتاف
بهرام ماه‌آذر
قالوس
آیین‌گشسپ
ارژنگ دیو
توس
جندل
سرگس
فروهل
گودرز
سودابه
مانی
سیاوش
بیطقون
آذرنوش
مهرنوش
زنگوی
کلباد
فرشیدورد
ویسه
دیو سپید
چنگش
گوش‌بستر
گردوی
پرموده
بیورد
سپینود
هیشوی
جوانوی
نوشزاد
پروش
لهاک
خزروان
خَنْجَست
اهرن
غاتفر
جمهور
روئین‌
زهیر
نرسی اشکانی
مهران ستاد
افلاطون
تهمینه
بیژن اشکانی
کوهیار
اندمان
نرسی
دارا‌پناه
گهار‌گهانی
فرایین
قحطان
دادبرزین آژنگ‌چهر
سنجه
تژاو
منذر
فرآیین
ماهیار
جان فروز
شیروی
تور
شادان
کیخسرو
کشواد
برمایه
رودابه
محمود غزنوی
طایر
کاموس کشانی
فغستان
طغری
نوش آذر
کهیلا
هومان
بابوی
ابراهیم
براهام
پیروز یکم
سپهرم
سلم
شاپور
شیرزیل
کید‌شاه هندوستان
قلون
خوزان
همای
