سیاوش
گژدهم
بابک رودیاب
فغستان
مهران ستاد
فرطوس
اسماعیل بن ابراهیم
مهرایزدگشسپ
میرین
فرش آورد
یزدگرد بزه گر
گرزم
بهرام
آزرمی دخت
هرمز دوم
هجیر
هرمزد
فرشیدورد
ویسه
الیاس
جندل
تهمینه
طرخان
براهام
پیروز یزدگرد
مهرنوش
ابراهیم
آبتین
بلاش
گروی زره
دل‌افروز
نصر قتیب
ساوه
بوران‌دخت
بهرام بهرامیان
مه‌آفرید
ابوبکر
مهرک
بهرام ماه‌آذر
غاتفر
شیده
ایرج
مشکناز
اولاد
خواست یزد
کهیلا
کید شاه هندوستان
روئین
فروهل
ریونیز
بوزرجهمر
تژاو
گردآفرید
طهمورث
شهرو
فرایین
فریان
پروش
ساسان
شاپور رازی
بیطقون
حسین قتیب
فرغار
سرخه
بیژن
فریدون
گیو
گهار گهانی
گرزسپ
بیورد کاتی
شیرویه
کاموس کشانی
نستیهن
زریر
مزدک
خراد
ایزدگشسپ
بوالفضل
فریبرز
جوانوی
تور
لنبک
منوشان
نرسی اشکانی
صیاع
مُشک
اسفندیار
بهرام بهرام
گلگله
اندریمان
قیدافه
جان فروز
مهرآذر
مای
سودابه
پولادغندی
اردشیر نکوکار
نیاطوس
کاوه آهنگر
برسام
قالوس
گرزاسپ
جانوشیار
پشوتن
ارسطالیس
گرشاسپ
لهاک
منوچهر آرش
اکوان دیو
باطرون
زردهشت
بنداه
دل افروز
گرمایل
نازباب
شنگل
خزروان خسرو
گو
رام برزین
نَهل
فرخ‌زاد
سیامک تورانی
بازور
آزرمی‌دخت
رستم
افلاطون
شماس
دلارا
گردیه
بساد
برمایه
وستا
خزاعه
هَمْدان‌گُشسپ
دقیقی
بهرام هور
جهن
تبرگ
بهرام‌
سیما برزین
کیقباد
کوهیار
شاهوی
بهزاد
دارا
سروش
ماخ
قیطون
نام خواست
طغری
گودرز
آرش اشکانی
مالکه
شهران گراز
ماهوی سوری
ایلا
سعد
فور هندی
ارنواز
شماخ سوری
هومان
کندر
بوراب
خوزان
زال
سیسنک
یزدگرد بزه‌گر
اندمان
شاپور ذوالاکتاف
اورمزد بزرگ
شاپور
بیژن اشکانی
مهربنداد
بالوی
طلخند
کبرد
گوش بستر
بوران دخت
شعبه مغیره
مهراب کابلی
سرگس
قارن پارسی
جاماسپ
اشتاد
کبروی
زادشم
گوش‌بستر
اشکبوس
کرم‌ هفتواد
فرنگیس
آرش کمانگیر
هرمز یکم
منذر
سلم
مانی
کید‌شاه هندوستان
شهران‌گراز
فرامرز
سورگ هندی
ارجاسب
دادبرزین
الکوس
ماه‌آذر
بودلف
مه آفرید
شمیران‌شنگی
کوت
سنجه
خانگی
فرآیین
بابوی
