بُست
بحرین
بلخ
کُروشان
قندهار
سمرقند
یمن
گندی‌شاپور
ترمذ
نیمروز
خراسان
قندوز
جده
قرچگان
بیت‌المقدس
مکران
دامغان
توس
اصفهان
مای
دابه کوه
اروندرود
اندلس
رام‌اردشیر
زیبد
کنابد
ارمان
دریای بیکند
دریای سند
دشت سُواران نیزه‌گذار
آذرآبادگان
کوه سپند
سپنجاب
دماوند
کشمیر
بغداد
مرو
اهواز
شیرخوان
فاریاب
پنجهیر
دریای گیلان
تیسفون
گیلان
سمنگان
دشت یلان
سگسار
بربر
مصر
بابل
ری
سیستان
ختن
کرمان
هرات
دهستان
دنبر
ساری
گوزگانان
اندرآب
عراق
هندوکش
دشت گُردان
گرگانج
آلانان
سپیدکوه
گرگان
جیخون
دشت قحطان
دریای چین
گرگساران
ماوراء‌النهر
تاتار
بدخشان
رودابد
تور
طراز
نیشابور
روم
بامیان
زابلستان
تمیشه
خزرها
شیاوش‌گرد
نیل
هاماوران
ولایت سغد
مولیان
مازندران
ولایت ختلان
بخارا
غزنی
هلمند
هند
جهرم
کاسه رود
رود ری
اصطخر
گوراب
آمل
مکه
گلزریون
اردبیل
قنوج
کابل
حلب
گرزبان
تالقان
البرزکوه
